the	x	x
art	n	d000.s000.t000
of	x	x
change_ringing	n	d000.s000.t001
be	v	x
peculiar	a	d000.s000.t002
to	x	x
the	x	x
english	n	d000.s000.t003
,	x	x
and	x	x
,	x	x
like	x	x
most	a	d000.s000.t004
english	a	d000.s000.t005
peculiarity	n	d000.s000.t006
,	x	x
unintelligible	a	d000.s000.t007
to	x	x
the	x	x
rest	n	d000.s000.t008
of	x	x
the	x	x
world	n	d000.s000.t009
.	x	x
<eos>	x	x
dorothy	n	x
l.	n	x
sayer	n	x
,	x	x
``	x	x
the	x	x
nine	n	x
tailor	n	d000.s001.t000
``	x	x
<eos>	x	x
aslacton	n	x
,	x	x
england	n	d000.s002.t000
--	x	x
<eos>	x	x
of	x	x
all	x	x
scene	n	d000.s003.t000
that	x	x
evoke	v	d000.s003.t001
rural	a	d000.s003.t002
england	n	d000.s003.t003
,	x	x
this	x	x
be	v	x
one	x	x
of	x	x
the	x	x
lovely	a	d000.s003.t004
:	x	x
a	x	x
ancient	a	d000.s003.t005
stone	n	d000.s003.t006
church	n	d000.s003.t007
stand	v	d000.s003.t008
amid	x	x
the	x	x
field	n	d000.s003.t009
,	x	x
the	x	x
sound	n	d000.s003.t010
of	x	x
bell	n	d000.s003.t011
cascade	v	d000.s003.t012
from	x	x
its	x	x
tower	n	d000.s003.t013
,	x	x
call	v	d000.s003.t014
the	x	x
faithful	n	d000.s003.t015
to	x	x
evensong	n	d000.s003.t016
.	x	x
<eos>	x	x
the	x	x
parishioner	n	d000.s004.t000
of	x	x
st.	n	x
michael	n	x
and	x	x
all	n	x
angel	n	x
stop	v	d000.s004.t001
to	x	x
chat	v	d000.s004.t002
at	x	x
the	x	x
church	n	d000.s004.t003
door	n	d000.s004.t004
,	x	x
as	x	x
member	n	d000.s004.t005
here	r	d000.s004.t006
always	r	d000.s004.t007
have	v	x
.	x	x
<eos>	x	x
in	x	x
the	x	x
tower	n	d000.s005.t000
,	x	x
five	x	x
man	n	d000.s005.t001
and	x	x
woman	n	d000.s005.t002
pull	v	d000.s005.t003
rhythmically	r	d000.s005.t004
on	x	x
rope	n	d000.s005.t005
attach	v	d000.s005.t006
to	x	x
the	x	x
same	a	d000.s005.t007
five	x	x
bell	n	d000.s005.t008
that	x	x
first	r	d000.s005.t009
sound	v	d000.s005.t010
here	r	d000.s005.t011
in	x	x
1614	x	x
.	x	x
<eos>	x	x
but	x	x
there	x	x
be	v	x
also	r	d000.s006.t000
a	x	x
discordant	a	d000.s006.t001
,	x	x
modern	a	d000.s006.t002
note	n	d000.s006.t003
in	x	x
aslacton	n	x
,	x	x
though	x	x
it	x	x
can	v	x
not	r	x
be	v	x
hear	v	x
by	x	x
the	x	x
churchgoer	n	d000.s006.t004
enjoy	v	d000.s006.t005
the	x	x
peal	n	d000.s006.t006
of	x	x
bell	n	d000.s006.t007
this	x	x
cool	a	d000.s006.t008
autumn	n	d000.s006.t009
evening	n	d000.s006.t010
.	x	x
<eos>	x	x
like	x	x
most	a	d000.s007.t000
of	x	x
the	x	x
other	a	d000.s007.t001
6,000	x	x
church	n	d000.s007.t002
in	x	x
britain	n	d000.s007.t003
with	x	x
set	n	d000.s007.t004
of	x	x
bell	n	d000.s007.t005
,	x	x
st.	n	x
michael	n	x
once	r	d000.s007.t006
have	v	x
its	x	x
own	a	d000.s007.t007
``	x	x
band	n	d000.s007.t008
``	x	x
of	x	x
ringer	n	d000.s007.t009
,	x	x
who	x	x
would	v	x
herald	v	d000.s007.t010
every	x	x
sunday	n	d000.s007.t011
morning	n	d000.s007.t012
and	x	x
evening	n	d000.s007.t013
service	n	d000.s007.t014
.	x	x
<eos>	x	x
now	r	d000.s008.t000
,	x	x
only	r	d000.s008.t001
one	x	x
local	a	d000.s008.t002
ringer	n	d000.s008.t003
remain	v	d000.s008.t004
:	x	x
64-year-old	a	x
derek	n	x
hammond	n	x
.	x	x
<eos>	x	x
the	x	x
other	n	x
here	r	d000.s009.t000
today	n	d000.s009.t001
live	v	d000.s009.t002
elsewhere	r	d000.s009.t003
.	x	x
<eos>	x	x
they	x	x
belong_to	v	d000.s010.t000
a	x	x
group	n	d000.s010.t001
of	x	x
15	x	x
ringer	n	d000.s010.t002
--	x	x
include	v	d000.s010.t003
two	x	x
octogenarian	n	d000.s010.t004
and	x	x
four	x	x
youngster	n	d000.s010.t005
in	x	x
training	n	d000.s010.t006
--	x	x
who	x	x
drive	v	d000.s010.t007
every	x	x
sunday	n	d000.s010.t008
from	x	x
church	n	d000.s010.t009
to	x	x
church	n	d000.s010.t010
in	x	x
a	x	x
sometimes-exhausting	a	x
effort	n	d000.s010.t011
to	x	x
keep	v	d000.s010.t012
the	x	x
bell	n	d000.s010.t013
sound	v	d000.s010.t014
in	x	x
the	x	x
many	a	d000.s010.t015
belfry	n	d000.s010.t016
of	x	x
east	n	x
anglium	n	x
.	x	x
<eos>	x	x
``	x	x
to	x	x
ring	v	x
for	x	x
even	r	d000.s011.t000
one	x	x
service	n	d000.s011.t001
at	x	x
this	x	x
tower	n	d000.s011.t002
,	x	x
we	x	x
have	v	x
to	x	x
scrape	v	d000.s011.t003
,	x	x
``	x	x
say	v	d000.s011.t004
mr.	n	x
hammond	n	x
,	x	x
a	x	x
retired	a	d000.s011.t005
water-authority	n	x
worker	n	d000.s011.t006
.	x	x
``	x	x
<eos>	x	x
we	x	x
have	v	x
try	v	d000.s012.t000
to	x	x
train	v	d000.s012.t001
the	x	x
youngster	n	d000.s012.t002
,	x	x
but	x	x
they	x	x
have	v	x
they	x	x
disco	n	d000.s012.t003
and	x	x
they	x	x
dance	n	d000.s012.t004
,	x	x
and	x	x
they	x	x
just	r	d000.s012.t005
drift	v	d000.s012.t006
away	r	d000.s012.t007
.	x	x
``	x	x
<eos>	x	x
mr.	n	x
hammond	n	x
worry	v	d000.s013.t000
that	x	x
old_age	n	d000.s013.t001
and	x	x
the	x	x
flightiness	n	d000.s013.t002
of	x	x
youth	n	d000.s013.t003
will	v	x
diminish	v	d000.s013.t004
the	x	x
rank	n	d000.s013.t005
of	x	x
the	x	x
east	a	x
anglian	a	x
group	n	d000.s013.t006
that	x	x
keep	v	d000.s013.t007
the	x	x
aslacton	n	x
bell	n	d000.s013.t008
peal	v	d000.s013.t009
.	x	x
<eos>	x	x
history	n	d000.s014.t000
,	x	x
after	x	x
all	x	x
,	x	x
be	v	x
not	r	x
on	x	x
he	x	x
side	n	d000.s014.t001
.	x	x
<eos>	x	x
accord	v	x
to	x	x
a	x	x
nationwide	a	d000.s015.t000
survey	n	d000.s015.t001
take	v	d000.s015.t002
a	x	x
year	n	d000.s015.t003
ago	r	d000.s015.t004
,	x	x
nearly	r	d000.s015.t005
a	x	x
third	a	x
of	x	x
england	n	d000.s015.t006
's	x	x
church	n	d000.s015.t007
bell	n	d000.s015.t008
be	v	x
no	r	d000.s015.t009
longer	r	d000.s015.t010
ring	v	d000.s015.t011
on	x	x
sunday	n	d000.s015.t012
because	x	x
there	x	x
be	v	x
no	x	x
one	n	x
to	x	x
ring	v	d000.s015.t013
they	x	x
.	x	x
<eos>	x	x
it	x	x
be	v	x
easy	a	d000.s016.t000
to	x	x
see	v	d000.s016.t001
why	r	x
the	x	x
ancient	a	d000.s016.t002
art	n	d000.s016.t003
be	v	x
on	x	x
the	x	x
rope	n	x
.	x	x
<eos>	x	x
the	x	x
less	r	d000.s017.t000
complicated	a	d000.s017.t001
version	n	d000.s017.t002
of	x	x
play	v	d000.s017.t003
tune	n	d000.s017.t004
on	x	x
bell	n	d000.s017.t005
,	x	x
as	x	x
do	v	x
the	x	x
carillon	n	d000.s017.t006
of	x	x
continental	a	d000.s017.t007
europe	n	d000.s017.t008
,	x	x
be	v	x
consider	v	d000.s017.t009
by	x	x
the	x	x
english	n	d000.s017.t010
to	x	x
be	v	x
childish	a	d000.s017.t011
,	x	x
fit	a	d000.s017.t012
only	r	d000.s017.t013
for	x	x
foreigner	n	d000.s017.t014
.	x	x
<eos>	x	x
change_ringing	n	d000.s018.t000
,	x	x
a	x	x
mind-boggling	a	d000.s018.t001
exercise	n	x
the	x	x
english	n	d000.s018.t002
invent	v	d000.s018.t003
380	x	x
year	n	d000.s018.t004
ago	r	d000.s018.t005
,	x	x
require	v	d000.s018.t006
physical	a	d000.s018.t007
dexterity	n	d000.s018.t008
--	x	x
some	x	x
bell	n	d000.s018.t009
weigh	v	d000.s018.t010
more	a	d000.s018.t011
than	x	x
a	x	x
ton	n	d000.s018.t012
--	x	x
combine	v	d000.s018.t013
with	x	x
intense	a	d000.s018.t014
mental	a	d000.s018.t015
concentration	n	d000.s018.t016
.	x	x
<eos>	x	x
proper	a	x
english	a	d000.s019.t000
bell	n	d000.s019.t001
be	v	x
start	v	d000.s019.t002
off	x	x
in	x	x
``	x	x
round	n	d000.s019.t003
,	x	x
``	x	x
from	x	x
the	x	x
high-pitched	a	d000.s019.t004
bell	n	d000.s019.t005
to	x	x
the	x	x
low	a	d000.s019.t006
--	x	x
a	x	x
simple	a	d000.s019.t007
descend	v	d000.s019.t008
scale	n	d000.s019.t009
use	v	d000.s019.t010
,	x	x
in	x	x
large	a	d000.s019.t011
church	n	d000.s019.t012
,	x	x
as	r	x
many	a	d000.s019.t013
as	x	x
12	x	x
bell	n	d000.s019.t014
.	x	x
<eos>	x	x
then	r	d000.s020.t000
,	x	x
at	x	x
a	x	x
signal	n	d000.s020.t001
,	x	x
the	x	x
ringer	n	d000.s020.t002
begin	v	d000.s020.t003
vary	v	d000.s020.t004
the	x	x
order	n	d000.s020.t005
in	x	x
which	x	x
the	x	x
bell	n	d000.s020.t006
sound	v	d000.s020.t007
without	x	x
alter	v	d000.s020.t008
the	x	x
steady	a	d000.s020.t009
rhythm	n	d000.s020.t010
of	x	x
the	x	x
striking	n	d000.s020.t011
.	x	x
<eos>	x	x
each	x	x
variation	n	d000.s021.t000
,	x	x
or	x	x
change	n	d000.s021.t001
,	x	x
can	v	x
occur	v	d000.s021.t002
only	r	d000.s021.t003
once	r	d000.s021.t004
,	x	x
the	x	x
rule	n	d000.s021.t005
state	v	d000.s021.t006
.	x	x
<eos>	x	x
ringer	n	d000.s022.t000
memorize	v	d000.s022.t001
